Rank,Brand,Bucket,Priority,Score,Source tags,Suggested incumbents to conquest,Suggested buyer titles,Outreach hook,Website,Contact Names,Contact Titles,Contact Links,Tagline,Description
26,Juni,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Juni as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://drinkjuni.com,Friendship Beverage,Parent Company,https://www.friendshipbeverage.com/,"Sparkling Adaptogen Drink with Ashwagandha, Lion's Mane & Reishi Mushrooms","Juni specializes in the development and production of functional beverages that combine traditional tea ingredients with modern wellness supplements. Their products include sparkling adaptogen drinks designed for focus and wellness, featuring organic ingredients with zero sugar."
27,Love Corn,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Love Corn as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.lovecorn.com,Nick Dickson,Helping businesses pivot towards their goals,https://uk.linkedin.com/in/nickdickson,Delicious Crunchy Corn Snack,"LOVE CORN is a crunchy snack brand that produces snacks made from whole corn kernels, sunflower oil, and natural seasonings. Their products are gluten-free, vegan, kosher, low in calories and sugar, and non-GMO."
28,Magic Spoon,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Magic Spoon as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://magicspoon.com,Gabi Lewis | Shane Callahan | John Shucavage | Jason Moloff,Co-founder | Director of Shopper Marketing | VP Costco & Sales Planning | Brand Marketing & Innovation Leader,https://www.tasteradio.com/episodes/why-magic-spoons-product-first-strategy-drove-its-success | https://www.linkedin.com/in/shanecallahan | https://www.linkedin.com/in/john-shucavage | https://www.linkedin.com/in/jasonmoloff,"High-protein, keto-friendly cereal with 0g sugar.","Magic Spoon is a high-protein, keto-friendly, and gluten-free cereal brand reimagining childhood favorites for a modern audience. The company focuses on a product-first strategy in the CPG space, offering low-carb, zero-sugar alternatives to traditional breakfast cereals and snacks."
29,MaryRuth's,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present MaryRuth's as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.maryruthorganics.com/,Yingying Kuang | Karen Trice,VP of Marketing | Director of Shopper Marketing,https://www.linkedin.com/in/yingyingkuang | https://www.linkedin.com/in/karentrice,Vegan Liquid Vitamins & Supplements,"MaryRuth Organics is a health and wellness brand specializing in vegan, non-GMO, and gluten-free vitamins and supplements. The company offers a wide range of products including liquid multivitamins, gummy vitamins, and innovative dissolvable supplement strips designed for infants, toddlers, kids, and adults. Their mission focuses on making wellness products and health education simple and approachable through clean-label ingredients and direct-to-consumer accessibility."
30,Mid-Day Squares,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Mid-Day Squares as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.middaysquares.com/,Liah Gill | Julian Murray,VP Marketing | Marketing Professional | Shopper Marketing,https://ca.linkedin.com/in/liah-gill-21498b91 | https://ca.linkedin.com/in/julian-murray-58b51b1a,Stop hunger and cravings with protein‑packed squares.,"Mid‑Day Squares is a chocolate manufacturer and the creator of the first functional chocolate bar. Their products are designed to curb hunger or cravings between meals, delivering protein, fiber, and flavor in a convenient snack bar format. The brand’s flagship No Bread PB&J and other snack bars are available nationwide, including at Target."
31,Nulo,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Nulo as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://ec.linkedin.com/company/nulopetfood/?trk=organization-update_share-update_actor-text,,,,"Nulo stands at the forefront of pet nutrition, dedicated to providing foods that fuel a healthy lifestyle for pets and their parents.","Nulo Pet Food is one of the fastest growing premium pet food brands in the United States, offering a range of high‑quality dog and cat foods designed to support a healthy lifestyle for pets and their owners. The company focuses on science‑backed nutrition, innovative formulations, and a strong e‑commerce presence, and recently secured a strategic growth investment from Main Post to accelerate its expansion. Nulo operates across multiple channels including direct‑to‑consumer e‑commerce, retail, and wholesale, positioning itself as a leader in the consumer packaged goods (CPG) pet nutrition market."
32,Nurri,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Nurri as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.nurri.com,,,,Protein-packed drinks for active lifestyles.,"Nurri is a consumer packaged goods brand that offers protein-infused beverages, including ultra-filtered milk shakes and coffee creamers, designed to support fitness and wellness. The brand focuses on clean ingredients, high protein content, and convenient formats for on-the-go consumers."
33,Oats Overnight,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Oats Overnight as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://www.oatsovernight.com,Karen Trice,"Sr. Manager, Shopper & Retail Marketing",https://www.linkedin.com/in/karentrice,"Nutritious, Delicious, Convenient Oatmeal","Founded in 2016, Oats Overnight is a leading provider of high-protein, spoon-free breakfast solutions. The company specializes in healthy oatmeal packs designed for 'breakfast beyond the bowl' with a focus on whole grains and a wide variety of flavors."
34,Power Up,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Power Up as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://powerupfoods.com,,,,Caffeinated snacks that power your day.,"Power Up Foods is a consumer‑packaged goods brand that creates vegan, gluten‑free, and keto‑friendly caffeinated snacks. Their flagship products include a line of caffeinated cookies and brownies, as well as protein‑rich donuts and other high‑energy treats. The brand has gained traction through direct‑to‑consumer sales and a rapid retail expansion, launching in 125 Urban Outfitters stores nationwide in 2022 and partnering with other retailers to bring their energizing snacks to a broader audience."
35,Pretzelized,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Pretzelized as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.,https://pretzelized.com,,,,"Disrupting the pretzel category with bold, crunchy flavors","Pretzelized is a fast‑growing snack brand launched by 7 Mile Brands in April 2024. The company blends the classic pretzel crunch with the versatility of crackers and pita chips, offering Pretzel Crackers and Pretzel Pita Chips that have already secured shelf space in 15,000 retail locations across the United States. In addition to its retail presence, Pretzelized has expanded into the foodservice market with a new 2‑ounce single‑serve pretzel snackers line, positioning itself as a disruptive force in the snack industry."
