Category,Company,Website,Contact,Notes
Roofing,MidSouth Construction,https://roofingbymidsouth.com/,,"GAF Master Elite; metal/slate/tile/shingle; storm restoration; full GC; Middle TN"
Roofing,Bill Ragan Roofing Company,https://www.billraganroofing.com/,,"Residential specialist; shingles/metal/cedar/synthetic/flat; skylights; Middle TN"
Roofing,Don Kennedy Roofing Company,https://donkennedyroofing.com/,contact@donkennedyroofing.com,"Nashville; commercial + residential; sheet metal"
Roofing,"H.E. Parmer Company, Inc.",https://heparmer.com/,,"Founded 1889; specialty installations; Nashville/Middle TN"
Roofing,Tim Leeper Roofing,https://timleeperroofing.com/,,"National Roofing Company of the Year (2015)"
Roofing,Five Points Roofing,https://fivepointsroofing.com/,,"Franklin; architectural shingles + standing seam metal"
Roofing,Sumner Roofing & Exteriors,https://www.sumnerroofing.com/,,"Hendersonville; roofing + exterior remodeling"
Roofing,Quality Exteriors,https://qualityexteriors.com/,,"Murfreesboro; insurance restoration; wind/hail"
Roofing,Ford Roofing Company,https://fordroofing.com/,,"Franklin; repairs/installs/chimney/skylights"
Roofing,Bone Dry Roofing (Nashville),https://bonedry.com/nashville/,,"Roofing + masonry + insulation + gutters + siding"
Roofing,"Roofing by Design, Inc.",https://roofingbydesign.net/,,"Luxury specialty: slate/tile/copper; Middle TN/S KY/N AL"
Roofing,Undersun Roofing,https://undersunroofing.com/,,"Nashville; residential; storm damage; gutters; solar"
Roofing,Storm Guard Roofing & Construction (Nashville),https://www.stormguardrc.com/tn/nashville/,(615) 988-9420,"Storm restoration"
Roofing,Elite Roofing LLC,https://www.eliteroofpro.com/,,"GAF Master Elite"
Roofing,Austermiller Roofing,https://www.austermillerroofing.com/,,"Greater Nashville; residential + commercial"
Luxury Renovation — Nashville Builders,Castle Homes,https://www.castlehomes.com/,,"Custom home builder; Belle Meade/Green Hills/Forest Hills/Oak Hill/Williamson"
Luxury Renovation — Nashville Builders,Merrill Construction Group,https://merrillconstructiongroup.com/,,"Design + build GC; luxury remodels"
Luxury Renovation — Nashville Builders,Trace Ventures,https://traceventures.com/,hello@traceventures.com,"Award-winning design-build; condo build-outs; residential remodel"
Luxury Renovation — Nashville Builders,Superior Home,https://mysuperiorhome.com/,,"Brentwood; new construction + remodeling"
Luxury Renovation — Nashville Builders,Crane Builders,https://www.cranebuilders.com/,,"Remodels + outdoor kitchens + ADUs"
Luxury Renovation — Nashville Builders,The Dan Company,https://www.dancompany.net/,,"Residential + commercial renovations"
Smart Home / AV,Bravas (Nashville),https://bravas.com/locations/nashville/,https://bravas.com/contact/,"Luxury smart home design + integration"
Smart Home / AV,Prodigy AV,https://prodigyav.com/,(615) 261-9930,"Crestron Elite Platinum; Savant; Lutron Diamond; Control4 Diamond; Nashville showroom"
Smart Home / AV,Liaison Technology Group,https://www.liaisontechgroup.com/,liaison@liaisontechgroup.com,"Lutron/Savant/Crestron/Control4; lighting + shades + AV + security"
Pools / Outdoor Living,Infinity Pools TN,https://www.infinitypoolstn.com/,,"Custom pools; luxury builds"
Pools / Outdoor Living,Riverstone Pools,https://www.riverstonepools.com/,,"Luxury pool builder; 3D renders"
Pools / Outdoor Living,Allison Companies,https://www.allisoncompanies.com/,,"Custom gunite pools"
Pools / Outdoor Living,TN Outdoor Living,https://tnoutdoor.com/,,"Outdoor kitchens + outdoor living spaces"
National Specialty,Kalamazoo Outdoor Gourmet,https://kalamazoogourmet.com/,,"Ultra-premium outdoor kitchens/grills"
National Specialty,Joseph & Curtis Custom Wine Cellars,https://www.josephandcurtis.com/,,"Custom wine cellars + tasting rooms"
Yacht Charter,Fraser Yachts,https://www.fraseryachts.com/,+1 954 463 0600,"Global; sales/charter/management; Fort Lauderdale"
Yacht Charter,Burgess,https://www.burgessyachts.com/,,"Superyachts 40m+"
Yacht Charter,Northrop & Johnson,https://www.northropandjohnson.com/,,"Established 1949; 98ft+ charter/sales"
Yacht Charter,Camper & Nicholsons,https://camperandnicholsons.com/,+1 954 524 4250,"Heritage brand (1782); Fort Lauderdale/Miami"
Yacht Charter,Edmiston,https://www.edmiston.com/,https://www.edmiston.com/contact/,"Charter + sales; Miami office"
Yacht Charter,Denison Yachting,https://www.denisonyachtsales.com/,(954) 763-3971,"US powerhouse; Fort Lauderdale"
Yacht Charter,Worth Avenue Yachts,https://www.worthavenueyachts.com/,https://www.worthavenueyachts.com/contact/,"Palm Beach; charter + sales"
Yacht Charter,Moran Yacht & Ship,https://www.moranyachts.com/,,"Charter + sales + construction management"
Yacht Charter,IYC,https://iyc.com/,,"Global yacht brokerage; charter fleet"
Yacht Charter,Cecil Wright & Partners,https://cecilwright.com/,,"Boutique; 50m+"
Yacht Charter,Boatsetter,https://www.boatsetter.com/,,"Marketplace; merged with GetMyBoat"
Yacht Charter,GetMyBoat,https://www.getmyboat.com/,,"Marketplace (merged with Boatsetter)"
Yacht Charter,CharterWorld,https://www.charterworld.com/,,"Charter aggregator + broker directory"
Yacht Charter,YachtCharterFleet,https://www.yachtcharterfleet.com/,,"Charter discovery/search platform"
Yacht Charter,Superyachts.com,https://www.superyachts.com/,,"Directory + marketplace"
Diamonds & Jewelry — Nashville,King Jewelers,https://kingjewelers.com/,,"Nashville institution; Kwiat dealer"
Diamonds & Jewelry — Nashville,Diamond Cellar (Green Hills),https://www.diamondcellar.com/pages/diamond-cellar-nashville-tennessee-green-hills,(615) 610-7656,"Rolex retailer; Green Hills"
Diamonds & Jewelry — Nashville,Green Hills Diamond Brokers,https://greenhillsdiamondbrokers.com/,https://greenhillsdiamondbrokers.com/pages/contact,"Custom design; broker model"
Diamonds & Jewelry — Nashville,Belle Meade Jewelry & Repair,,,"Local custom jeweler (verify site/contact)"
Diamonds & Jewelry — Nashville,Gossage Jewelers,,,"Local jeweler (verify site/contact)"
Diamonds & Jewelry — National,Graff,https://www.graff.com/us-en/store-list/,,"Ultra-luxury diamonds"
Diamonds & Jewelry — National,Harry Winston,https://www.harrywinston.com/en,,"High jewelry"
Diamonds & Jewelry — National,Kwiat,https://kwiat.com/,,"NYC diamond house"
Diamonds & Jewelry — National,Cartier,https://www.cartier.com/,,"High jewelry"
Diamonds & Jewelry — National,Van Cleef & Arpels,https://www.vancleefarpels.com/,,"High jewelry"
Diamonds & Jewelry — National,Tiffany & Co.,https://www.tiffany.com/,,"Luxury jewelry"
Diamonds & Jewelry — Online,Blue Nile,https://www.bluenile.com/,,"Online diamonds"
Diamonds & Jewelry — Online,James Allen,https://www.jamesallen.com/,,"Online diamonds; 360° viewing"
Diamonds & Jewelry — Online,Brilliant Earth,https://www.brilliantearth.com/,,"Ethical sourcing; lab-grown + natural"
Diamonds & Jewelry — Online,Leibish & Co.,https://www.leibish.com/,,"Fancy color diamonds"
Luxury Villa Rentals,Haute Retreats,https://hauteretreats.com/,,"Ultra-luxury villas"
Luxury Villa Rentals,Edge Retreats,https://edgeretreats.com/,,"Curated luxury stays"
Luxury Villa Rentals,Sibarth (St. Barts),https://sibarth.com/,,"St. Barts specialist"
Luxury Villa Rentals,Le Collectionist,https://www.lecollectionist.com/en,,"Luxury villas + chalets"
Luxury Villa Rentals,Villas of Distinction,https://www.villasofdistinction.com/,,"Caribbean + global"
Luxury Villa Rentals,Inspirato,https://www.inspirato.com/,,"Luxury travel subscription"
