Rank,Brand,Bucket,Priority,Score,Source tags,Suggested incumbents to conquest,Suggested buyer titles,Outreach hook
1,Abbot's Butcher,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Abbot's Butcher as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
2,Amara,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Amara as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
3,Archer,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Archer as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
4,Archer Jerky,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Archer Jerky as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
5,Aussie Bubs,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Aussie Bubs as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
6,Belgian Boys,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Belgian Boys as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
7,Black Rifle Coffee Company,Beverage,A,6,Instacart Emerging 2025,Coca-Cola; PepsiCo; LaCroix/Spindrift-style sparkling; Gatorade/Powerade; Vitaminwater,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,"When a shopper adds a competing drink to their grocery list, Pop can suggest Black Rifle Coffee Company with a rebate — pay only on receipt-verified purchase."
8,Blueland,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Blueland as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
9,Built,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Built as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
10,Cure Hydration,Beverage,A,6,Instacart Emerging 2025,Coca-Cola; PepsiCo; LaCroix/Spindrift-style sparkling; Gatorade/Powerade; Vitaminwater,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,"When a shopper adds a competing drink to their grocery list, Pop can suggest Cure Hydration with a rebate — pay only on receipt-verified purchase."
11,Cymbiotika,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Cymbiotika as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
12,Dose,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Dose as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
13,Drizzilicious,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Drizzilicious as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
14,Evergreen,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Evergreen as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
15,Fishwife,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Fishwife as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
16,Fresh Press Farms,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Fresh Press Farms as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
17,Fruit Riot!,Snack / Grocery,A,6,Instacart Emerging 2025,PepsiCo (Frito-Lay); Mondelez; Kellogg; General Mills; Hershey,Head/VP of Growth; Director of Shopper Marketing; VP Ecommerce; Performance Marketing Lead,Pop can present Fruit Riot! as a swap when shoppers add a competitor — brands pay only on receipt-verified conversion.
