Added (UTC date),Category,Vendor,Why it matches,Primary contact,Phone/WhatsApp,Contact page / URL,Notes,Resolved_Website,Resolved_Contact_Name,Resolved_Contact_Title,Resolved_Contact_Email,Resolved_Contact_Phone,Resolved_Contact_Link,Resolved_Tagline,Resolved_Description,Resolved_SEO_Summary,Resolved_Services,Resolved_Confidence,Resolved_Source_URL,Resolved_Search_Used,Resolved_Last_Run_UTC,Resolved_Notes
2026-03-08,Expedition (Galápagos),Ecoventura (Origin / Theory / Evolve),Small-ship luxury expedition cruising with a strong naturalist/research orientation; Relais & Châteaux culinary program.,help@ecoventura.com,+593 96-977-2721 (24/7),https://ecoventura.com/contact-us/,After-hours assistance listed; WhatsApp recommended.,https://ecoventura.com/,Worldwide Sales and Reservation Office,Sales and Reservations,info@ecoventura.com,(800) 633-7972,https://ecoventura.com/contact-us/,Sustainable luxury expedition cruising in the Galápagos Islands.,"Ecoventura operates a fleet of high-end expedition yachts, including the Origin, Theory, and Evolve, which are the only Galápagos vessels to hold the Relais & Châteaux distinction. The company focuses on low-impact tourism, hosting just 20 guests per voyage with a high naturalist-to-passenger ratio. Their programs emphasize gourmet culinary experiences and deep immersion into the archipelago's unique wildlife and ecosystems.","Elite Galápagos expedition cruises featuring Relais & Châteaux culinary programs and sustainable luxury yachts. Specializing in small-ship intimacy, expert-led naturalist tours, and eco-conscious travel for discerning adventurers.",Luxury Expedition Cruises | Relais & Châteaux Culinary Program | Naturalist-Led Wildlife Tours | Private Yacht Charters | Sustainable Eco-Tourism,high,https://ecoventura.com/contact-us/,FALSE,2026-03-09T05:32:08.593222,
2026-03-08,Expedition (Galápagos),Quasar Expeditions,Ultra-premium small-yacht 'yacht safari' approach; tailored guidance and high-end service.,sales@quasarex.com,+1 (415) 689-8509 | 1-888-502-9503 (toll-free),https://www.quasarex.com/contact-us,Also lists 24-hour emergency contacts by region.,https://www.quasarex.com,Eduardo Diez Jr.,Vice President of Sales & Marketing,sales@quasarex.com,+1 (415) 689-8509,https://www.linkedin.com/company/quasar-expeditions,"Authentic, exclusive, and meaningful land and sea experiences for adventurous travelers.","Quasar Expeditions is a family-owned luxury tour operator specializing in small-ship cruises and overland safaris in South America since 1986. They are best known for their ultra-premium 'yacht safari' approach in the Galápagos Islands and private overland adventures in Patagonia. The company emphasizes high-end service, sustainable travel, and meaningful wildlife encounters using well-appointed yachts and luxury vehicles.","Award-winning luxury expedition provider offering #1 rated small-ship Galápagos cruises and Patagonia overland safaris. Specializes in private charters, family adventures, and honeymoon travel with a focus on five-star cultural cuisine and expert-led wildlife experiences.",Galápagos Luxury Cruises | Patagonia Overland Safaris | Private Yacht Charters | Photography Expeditions | Tailor-made South America Tours | Antarctica & Atacama Desert Extensions,high,https://www.quasarex.com/contact-us,FALSE,2026-03-09T05:37:48.265354,
2026-03-08,Expedition (Galápagos + global),Silversea Cruises (Silver Origin),Luxury expedition cruising with dedicated Galápagos ship; strong all-inclusive positioning.,Reservation Team (phone),+1-888-978-4070,https://www.silversea.com/other-resources/contact-us.html,Global office numbers also listed.,https://www.silversea.com,Silversea Reservations Team,Reservations and Planning Support,specialservices@silversea.com,+1-888-978-4070,https://www.silversea.com/other-resources/contact-us.html,The ultimate ultra-luxury expedition experience in the Galápagos Islands.,"Silversea Cruises operates the Silver Origin, a purpose-built ultra-luxury ship designed specifically for the Galápagos Islands. The vessel offers an all-suite, butler-serviced experience with a focus on environmental sustainability and immersive destination discovery. Guests benefit from an all-inclusive offering that covers flights, transfers, shore excursions, and gourmet dining.","Silversea Cruises provides ultra-luxury expedition voyages featuring the Silver Origin, the most elegant ship ever to sail the Galápagos. Their all-inclusive luxury model integrates expert-led shore excursions, premium hospitality, and seamless door-to-door travel logistics.",Luxury Expedition Cruises | Galápagos Archipelago Voyages | Butler Service | All-Inclusive Shore Excursions | Air Travel & Transfers | Pre- and Post-Cruise Hotel Stays | Baggage Valet Services | Spa and Specialty Dining,high,https://www.silversea.com/other-resources/contact-us.html,FALSE,2026-03-09T05:37:58.543258,
2026-03-08,Expedition (Galápagos + global),National Geographic-Lindblad Expeditions,Expedition-led sailing with strong science/naturalist programming and NatGeo partnership.,Request a Quote (web),Air Dept: 1-800-444-7739 | lindbladair@lindbladair.com,https://www.expeditions.com/air-department,"For trip planning, they route via expedition specialists and forms.",https://www.expeditions.com,Expedition Specialists,Sales and Trip Planning Team,lindbladair@lindbladair.com,1-800-397-3348,https://www.expeditions.com/contact-us,"The world leader in expedition travel, partnering with National Geographic to provide immersive, expert-led voyages.","National Geographic-Lindblad Expeditions offers luxury expedition-led sailing across global destinations including the Galápagos, Antarctica, and the Arctic. Their voyages feature a fleet of specialized ships equipped with advanced tools for exploration and a world-class team of scientists, naturalists, and National Geographic photographers. The partnership emphasizes conservation, education, and deep cultural immersion through high-end, small-ship experiences.","Premier expedition cruises featuring National Geographic experts, certified photo instructors, and undersea specialists. Specializing in small-ship luxury travel to remote destinations with a focus on science-based programming and sustainable exploration.",Expedition Cruises | Galápagos Expeditions | Antarctica Fly-the-Drake Voyages | National Geographic Photography Instruction | Undersea Exploration | Full-Service Air Department | Family Travel Programs | Cultural and Historical Tours,high,https://www.expeditions.com/air-department,FALSE,2026-03-09T05:38:05.809460,
2026-03-08,Resort (Maldives),Soneva Jani,"Iconic overwater villas, hyper-personal service, experiential dining; ultra-luxury benchmark in the Maldives.",reservations@soneva.com,+960 660 4300 | Property: +960 656 6666,https://soneva.com/contact-us/,Direct dial + WhatsApp also listed.,https://soneva.com/resorts/soneva-jani/,Tess Willcox,Global Director of Brand & Communications,tesswillcox@soneva.com,+960 660 4300,https://soneva.com/contact-us/,A sanctuary of mind-blowing overwater villas and pristine lagoons in the Maldives' Noonu Atoll.,"Soneva Jani is an ultra-luxury resort located on the island of Medhufaru in the Maldives, famous for its iconic overwater villas featuring retractable roofs and private water slides. The resort emphasizes a 'No News, No Shoes' philosophy, combining sustainable luxury with hyper-personalized service and world-class experiential dining. It serves as a global benchmark for eco-conscious hospitality and exclusive island living.","Soneva Jani offers world-class overwater villas, private lagoons, and sustainable luxury experiences in the Maldives. Key differentiators include the Soneva Soul wellness concept, astronomical dining, and bespoke guest experiences managed by dedicated Barefoot Guardians.",Luxury Overwater & Island Villa Rentals | Experiential Dining & Destination Gastronomy | Soneva Soul Wellness & Ayurvedic Treatments | Water Sports & Diving | Private Charter & Seaplane Transfers | The Den Children's Club | Observatory & Astronomical Experiences,high,https://soneva.com/contact-us/,FALSE,2026-03-09T05:38:18.303447,
2026-03-08,Resort (Maldives),Cheval Blanc Randheli,LVMH hospitality flagship in the Maldives; high-touch villa luxury and polished service standards.,res.randheli@chevalblanc.com,+960 656 1515,https://www.chevalblanc.com/en/maison/randheli/contact/,Also lists general info email: info.randheli@chevalblanc.com,https://www.chevalblanc.com/en/maison/randheli/,Reservations Team,Reservations Department,res.randheli@chevalblanc.com,+960 656 1515,https://www.chevalblanc.com/en/maison/randheli/contact/,An intimate and contemporary Maison nestled in the turquoise waters of the Noonu Atoll.,"Cheval Blanc Randheli is an ultra-luxury resort in the Maldives and a flagship of the LVMH Hotel Management portfolio. Designed by architect Jean-Michel Gathy, the property features high-touch villa accommodations, exclusive culinary experiences, and a dedicated Spa Cheval Blanc. The resort emphasizes 'Art de Recevoir' through personalized service provided by a team of dedicated Alchemists and Majordomes.","Ultra-luxury Maldivian resort featuring private villas, Michelin-standard dining, and a Guerlain spa. Located in the Noonu Atoll, it offers bespoke seaplane transfers and high-end hospitality under the LVMH brand.",Luxury Villa Accommodations | Private Seaplane Transfers | Spa Cheval Blanc | Fine Dining & Culinary Arts | Bespoke Alchemist Experiences | Water Sports & Diving | Le Carrousel & Le Paddock Youth Clubs,high,https://www.chevalblanc.com/en/maison/randheli/contact/,FALSE,2026-03-09T05:38:27.306334,
2026-03-08,Resort (Maldives),Waldorf Astoria Maldives Ithaafushi,Private-island scale with ultra-luxury villas and curated experiences; strong for groups/families.,MLEON.hotel@waldorfastoria.com,+960-400-0300,https://www.waldorfastoriamaldives.com/contact/,Multiple reservation numbers listed on contact page.,https://www.waldorfastoriamaldives.com/,Waldorf Astoria Maldives Reservations,General Enquiries & Reservations,MLEON.hotel@waldorfastoria.com,+960-400-0300,https://www.waldorfastoriamaldives.com/contact/,"A private island set apart from the world, where unforgettable experiences await.","Waldorf Astoria Maldives Ithaafushi is an ultra-luxury resort located in the South Malé Atoll, spanning three private islands and a reef. The resort features 119 reef, beach, and overwater villas with private pools, including the exclusive Ithaafushi Private Island. Guests have access to 11 world-class dining venues, a lifestyle spa sanctuary, and curated wellness programs led by visiting practitioners.","Award-winning luxury resort in the Maldives featuring private island villas, Forbes Travel Guide five-star service, and signature dining like The Ledge by Dave Pynt. Specialized in high-end group stays, wellness retreats, and bespoke ocean experiences.",Luxury Villa Accommodations | Ithaafushi Private Island Rental | World-class Dining (11 venues) | Waldorf Astoria Spa & Wellness Sanctuary | Visiting Wellness Practitioner Programs | Bespoke Event & Wedding Planning | Water Sports & Ocean Excursions,high,https://www.waldorfastoriamaldives.com/contact/,FALSE,2026-03-09T05:38:53.115390,
2026-03-08,Resort (Grand Cayman),"The Ritz-Carlton, Grand Cayman",Benchmark property; strong family + culinary + beach positioning on Seven Mile Beach.,GRPRCGrandCaymanReservations@ritzcarlton.com,+1 345-943-9000 | Reservations: (345) 815-6300,https://www.ritzcarlton.com/en/hotels/gcmrz-the-ritz-carlton-grand-cayman/overview/,Ambassadors of the Environment contact: caymanambassadors@ritzcarlton.com,https://www.ritzcarlton.com/en/hotels/gcmrz-the-ritz-carlton-grand-cayman/overview/,General Reservations,Reservations Department,GRPRCGrandCaymanReservations@ritzcarlton.com,+1 345-943-9000,https://www.ritzcarlton.com/en/hotels/gcmrz-the-ritz-carlton-grand-cayman/overview/,A luxury resort benchmark on Seven Mile Beach offering refined elegance and immersive Caribbean experiences.,"The Ritz-Carlton, Grand Cayman is a premier luxury resort situated on the world-renowned Seven Mile Beach. The property features elevated accommodations including spacious suites and private villas, complemented by curated culinary offerings and serene wellness journeys. It is distinguished by its strong family positioning, the Jean-Michel Cousteau Ambassadors of the Environment program, and its role as the host of the prestigious Cayman Cookout.","Luxury Grand Cayman resort on Seven Mile Beach featuring world-class dining, a signature spa, and exclusive club-level suites. Renowned for family-friendly amenities, professional golf, and high-end destination event spaces.",Luxury Accommodations & Suites | Fine Dining & Culinary Experiences | The Ritz-Carlton Spa | Ambassadors of the Environment Program | Meetings & Weddings Services | Club Level Access | Golf & Tennis Facilities | Water Sports & Beach Activities,high,https://www.ritzcarlton.com/en/hotels/gcmrz-the-ritz-carlton-grand-cayman/overview/,FALSE,2026-03-09T05:39:00.939480,
2026-03-08,Resort (Grand Cayman),Kimpton Seafire Resort + Spa,Modern-luxury alternative on Seven Mile Beach with strong design + service; excellent for buyouts/groups.,reservations@seafireresortandspa.com,+1 345-746-0000,https://www.seafireresortandspa.com/contact/,Arrival guide also lists reservations email + phone.,https://www.seafireresortandspa.com,Reservations Team,Reservations and Guest Services,reservations@seafireresortandspa.com,+1 345-746-0000,https://www.seafireresortandspa.com/contact/,A modern-luxury sanctuary on the world-famous Seven Mile Beach in Grand Cayman.,"Kimpton Seafire Resort + Spa is a contemporary luxury resort featuring 266 guestrooms and suites with floor-to-ceiling windows and private balconies. The property offers a sophisticated design aesthetic, an expansive spa, and multiple innovative dining venues overlooking the Caribbean Sea. It is recognized as a premier destination for high-end leisure travel, group buyouts, and corporate retreats in the Cayman Islands.","Luxury beachfront resort on Seven Mile Beach featuring modern design, full-service spa, and oceanfront event spaces. Premier Grand Cayman destination for luxury accommodations, fine dining, and exclusive group buyouts.",Luxury Accommodations | Full-Service Spa | Oceanfront Dining | Group Buyouts & Events | Fitness Center | Water Sports | Concierge Services,high,https://www.seafireresortandspa.com/contact/,FALSE,2026-03-09T05:39:05.558888,
2026-03-08,Resort (Grand Cayman),Palm Heights (Grand Cayman),High-design all-suite boutique on Seven Mile Beach; strong wellness + culinary programming.,wellness@palmheights.com,,https://palmheights.com/,Wellness/retreats contact listed on site.,https://palmheights.com/,Wellness Team,Wellness and Retreats Department,wellness@palmheights.com,+1 (345) 949-1234,https://palmheights.com/,"Grand Cayman's first all-suite boutique hotel celebrating regional culture, cuisine, wellness, and design.","Palm Heights is a high-design luxury resort situated on the renowned Seven Mile Beach in the Cayman Islands. The property features oceanview suites, a dedicated wellness and retreat program, and diverse culinary experiences including Tillies, Paradise Pizza, and Yashinoki. It is designed as a generational reboot of Caribbean glamour, emphasizing physical and mental enrichment through its Garden Club and athletic facilities.","Luxury all-suite boutique resort on Seven Mile Beach, Grand Cayman, featuring world-class wellness retreats, regional Caribbean cuisine, and mid-century inspired design. Offers premium oceanfront accommodations, a comprehensive fitness program, and curated cultural events.","Oceanview Suite Accommodations | Wellness Retreats | Fine Dining (Tillies, Yashinoki) | Casual Dining (Paradise Pizza) | Garden Club Spa Services | Fitness and Workout Programs | Cultural Events and Movie Nights | Luxury Residences",high,https://palmheights.com/,FALSE,2026-03-09T05:39:28.530747,
