Category,Rank_in_Category,Agent_or_Team,Brokerage,City,State,Metric,Metric_Value,Source,Source_URL,Luxury_Brokerage_Flag,Luxury_Market_Flag,Public_$2Mplus_Fit,Methodology_Notes
Agent-Owned Brokerages - Sales Volume (2019),15,Sandra Miller,Engel & Völkers Santa Monica,Santa Monica,CA,Sales Volume USD,"$162,502,354",REAL Trends + Tom Ferry The Thousand (2020 edition; 2019 production),https://www.joanlevinson.com/wp-content/uploads/2023/03/REAL-Trends-The-Thousand-2020-1.pdf,TRUE,TRUE,High,Top producer in RealTrends Verified; public fit raised by luxury-branded brokerage and luxury-heavy market.
Agent-Owned Brokerages - Sales Volume (2019),22,Paul Benson,Engel & Völkers Park City,Park City,UT,Sales Volume USD,"$104,385,196",REAL Trends + Tom Ferry The Thousand (2020 edition; 2019 production),https://www.joanlevinson.com/wp-content/uploads/2023/03/REAL-Trends-The-Thousand-2020-1.pdf,TRUE,TRUE,High,Top producer in RealTrends Verified; public fit raised by luxury-branded brokerage and luxury-heavy market.
Individuals - Sales Volume (2019),1,Alexa P Lambert,Compass,New York City,NY,Sales Volume USD,"$761,653,743",REAL Trends + Tom Ferry The Thousand (2020 edition; 2019 production),https://www.joanlevinson.com/wp-content/uploads/2023/03/REAL-Trends-The-Thousand-2020-1.pdf,TRUE,TRUE,High,Top producer in RealTrends Verified; public fit raised by luxury-branded brokerage and luxury-heavy market.
Individuals - Sales Volume (2019),2,Cathy Franklin,The Corcoran Group,New York,NY,Sales Volume USD,"$509,841,500",REAL Trends + Tom Ferry The Thousand (2020 edition; 2019 production),https://www.joanlevinson.com/wp-content/uploads/2023/03/REAL-Trends-The-Thousand-2020-1.pdf,TRUE,TRUE,High,Top producer in RealTrends Verified; public fit raised by luxury-branded brokerage and luxury-heavy market.
Individuals - Sales Volume (2019),3,Jade Mills,Coldwell Banker Realty,Beverly Hills,CA,Sales Volume USD,"$369,942,394",REAL Trends + Tom Ferry The Thousand (2020 edition; 2019 production),https://www.joanlevinson.com/wp-content/uploads/2023/03/REAL-Trends-The-Thousand-2020-1.pdf,TRUE,TRUE,High,Top producer in RealTrends Verified; public fit raised by luxury-branded brokerage and luxury-heavy market.
Individuals - Sales Volume (2019),4,Serena Boardman,Sotheby's International Realty,New York,NY,Sales Volume USD,"$365,000,000",REAL Trends + Tom Ferry The Thousand (2020 edition; 2019 production),https://www.joanlevinson.com/wp-content/uploads/2023/03/REAL-Trends-The-Thousand-2020-1.pdf,TRUE,TRUE,High,Top producer in RealTrends Verified; public fit raised by luxury-branded brokerage and luxury-heavy market.
Individuals - Sales Volume (2019),5,Tere Foster,Compass,Bellevue,WA,Sales Volume USD,"$355,812,895",REAL Trends + Tom Ferry The Thousand (2020 edition; 2019 production),https://www.joanlevinson.com/wp-content/uploads/2023/03/REAL-Trends-The-Thousand-2020-1.pdf,TRUE,TRUE,High,Top producer in RealTrends Verified; public fit raised by luxury-branded brokerage and luxury-heavy market.
Individuals - Sales Volume (2019),6,Neill Bassi,Sotheby's International Realty,San Francisco,CA,Sales Volume USD,"$286,507,525",REAL Trends + Tom Ferry The Thousand (2020 edition; 2019 production),https://www.joanlevinson.com/wp-content/uploads/2023/03/REAL-Trends-The-Thousand-2020-1.pdf,TRUE,TRUE,High,Top producer in RealTrends Verified; public fit raised by luxury-branded brokerage and luxury-heavy market.
Individuals - Sales Volume (2019),8,Santiago Arana,The Agency,Los Angeles,CA,Sales Volume USD,"$248,556,170",REAL Trends + Tom Ferry The Thousand (2020 edition; 2019 production),https://www.joanlevinson.com/wp-content/uploads/2023/03/REAL-Trends-The-Thousand-2020-1.pdf,TRUE,TRUE,High,Top producer in RealTrends Verified; public fit raised by luxury-branded brokerage and luxury-heavy market.
Individuals - Sales Volume (2019),11,David Offer,Berkshire Hathaway HomeServices California Properties,Los Angeles,CA,Sales Volume USD,"$233,405,597",REAL Trends + Tom Ferry The Thousand (2020 edition; 2019 production),https://www.joanlevinson.com/wp-content/uploads/2023/03/REAL-Trends-The-Thousand-2020-1.pdf,TRUE,TRUE,High,Top producer in RealTrends Verified; public fit raised by luxury-branded brokerage and luxury-heavy market.
